District,Code,Representative,,Pronunciation,,Born,Religion,First,2014 US House,,Cook PVI,,2012 President,,,,2008 President,,,,2014 Two-Party,,2012 Two-Party,,2010 Census Adult Pop. Demographics,,,,,,Special Elections,,,2014 House Vote,,,,2012 House Vote,,Special Elections,,,2012 Presidential Election,,,2008 Presidential Election,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,,,,,2010 Census Adult Pop. Demographics,,,,,,2012 President,,,,Downballot Avg,,,Partisan Voting Index,,,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,,2012 President,,Downballot Average,
,,First Name,Last Name,Phonetic,IPA,,,Elected,Dem,Rep,,,Obama,Romney,12PVI,,Obama,McCain,08PVI,,Dem,Rep,Dem,Rep,White,Black,Hisp.,Asian,Native,Other,Dem,Rep,,Total,Dem,Rep,Other,Dem,Rep,Dem,Rep,raw CPVI,Obama,Romney,raw12PVI,Obama,McCain,raw08PVI,Total,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total,White (NH),Black (NH),Hispanic (any race),Asian and Pacific Islander (NH),Native American (NH),Other (NH),,,State,White,Black,Hisp.,Asian,Native,Other,Obama,Romney,12PVI,,Dem,Rep,,2012 raw,,Two-Party Vote,,District,Total,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total,White (NH),Black (NH),Hispanic (any race),Asian and Pacific Islander (NH),Native American (NH),Other (NH),Obama,Romney,Dem,Rep
Michigan 2nd,MI-02,Bill,Huizenga,(BILL HIGH-zing-uh),/bɪl 'haɪ.ziŋ.gə/,1969,Christian Reformed,2010,33.3%,63.6%,R+,7,43.5%,56.5%,R+,8,48.8%,51.2%,R+,5,34.3%,65.7%,35.9%,64.1%,84.1%,5.9%,6.4%,2.0%,0.5%,1.1%,,,200,"213,072","70,851","135,568","6,653",108973,194653,,,-6.7,"142,079","184,753",-8.5,"168,237","176,331",-4.9,705379,570532,45248,57713,14641,3397,13848,526885,443253,31174,33485,10316,2634,6023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan 3rd,MI-03,Justin,Amash,(JUH-stin uh-MAHSH),/'dʒʌ.stɪn ə.'mɑʃ/,1980,Eastern Orthodox,2010,39.0%,57.9%,R+,4,46.3%,53.7%,R+,6,50.5%,49.5%,R+,3,40.3%,59.7%,45.6%,54.4%,83.7%,7.8%,5.5%,1.4%,0.4%,1.2%,,,201,"217,165","84,720","125,754","6,691",144108,171675,,,-4.4,"153,070","177,743",-5.7,"174,381","170,654",-3.1,706300,569753,58869,50042,10118,2744,14774,525031,439526,41013,28800,7199,2102,6391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan 4th,MI-04,John,Moolenaar,(JAHN MOLE-uh-nar),/dʒɑn 'moʊ.lə.nɑɹ/,1961,Christian,2014,39.1%,56.5%,R+,5,45.9%,54.1%,R+,6,50.5%,49.5%,R+,3,40.9%,59.1%,34.7%,65.3%,93.5%,1.9%,2.1%,0.9%,0.7%,0.9%,,,202,"219,423","85,777","123,962","9,684",104996,197386,,,-4.6,"146,088","171,864",-6.0,"170,685","167,074",-3.2,706106,653338,12441,19006,6438,5042,9841,549309,513732,10397,11498,4925,3663,5094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan 5th,MI-05,Dan,Kildee,(DANN KILL-dee),/dæn 'kɪl.di/,1958,Roman Catholic,2012,66.7%,31.2%,D+,10,61.3%,38.7%,D+,9,64.1%,35.9%,D+,10,68.2%,31.8%,67.4%,32.6%,77.7%,16.1%,3.6%,0.8%,0.4%,1.3%,,,203,"222,138","148,182","69,222","4,734",214531,103931,,,9.9,"205,797","129,900",9.3,"230,768","129,429",10.4,706016,526313,124083,31550,5839,3202,15029,535819,416306,86449,19126,4489,2371,7078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan 6th,MI-06,Fred,Upton,(FRED UP-ton),/fɹɛd 'ʌp.tən/,1953,Congregationalist,1986,40.4%,55.9%,R+,1,49.3%,50.7%,R+,3,54.0%,46.0%,D+,0,41.9%,58.1%,43.8%,56.2%,85.1%,7.6%,4.1%,1.3%,0.5%,1.4%,,,204,"208,976","84,391","116,801","7,784",136563,174955,,,-1.2,"158,951","163,310",-2.6,"184,125","156,672",0.3,706833,580808,59007,37593,9480,3468,16477,536850,456986,40667,21920,7232,2569,7476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan 7th,MI-07,Tim,Walberg,(TIM WAWL-berg),/tɪm 'wɔl.bəɹg/,1951,Protestant,"2010, 2006-2008",41.2%,53.5%,R+,3,48.4%,51.6%,R+,4,51.7%,48.3%,R+,2,43.5%,56.5%,44.6%,55.4%,90.6%,4.1%,3.1%,0.9%,0.3%,1.1%,,,205,"223,685","92,083","119,564","12,038",136849,169668,,,-2.7,"159,009","169,266",-3.5,"177,650","165,756",-2.0,706835,629156,28799,27456,6465,2323,12636,539775,489129,21870,16592,4659,1813,5712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan 8th,MI-08,Mike,Bishop,(MIKE BIH-shup),/maɪk 'bɪ.ʃəp/,1967,Congregationalist,2014,42.1%,54.6%,R+,2,48.4%,51.6%,R+,4,52.9%,47.1%,R+,1,43.5%,56.5%,38.9%,61.1%,85.7%,5.2%,3.7%,3.7%,0.4%,1.3%,,,206,"243,125","102,269","132,739","8,117",128657,202217,,,-2.2,"172,131","183,512",-3.6,"195,947","174,675",-0.8,705492,590738,38902,32041,26471,2462,14878,537989,461205,27721,19943,20044,1887,7189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan 9th,MI-09,Sandy,Levin,(SAN-dee LEV-in),/'sæn.di 'lɛ.vɪn/,1931,Jewish,1982,60.4%,36.1%,D+,6,57.7%,42.3%,D+,6,59.2%,40.8%,D+,5,62.6%,37.4%,64.5%,35.5%,83.6%,9.7%,1.7%,3.3%,0.3%,1.5%,,,207,"225,757","136,342","81,470","7,945",208846,114760,,,5.6,"199,625","146,185",5.8,"214,229","147,770",5.5,706746,571278,78161,14633,24375,2094,16205,554396,463395,53509,9436,18319,1595,8142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan 10th,MI-10,Candice,Miller,(KAN-diss MILL-er),/'kæn.dɪs 'mɪ.ləɹ/,1954,Presbyterian,2002,29.4%,68.7%,R+,6,44.2%,55.8%,R+,8,49.0%,51.0%,R+,5,29.9%,70.1%,30.2%,69.8%,92.7%,2.5%,2.3%,1.3%,0.3%,0.9%,,,208,"228,692","67,143","157,069","4,480",97734,226075,,,-6.3,"148,432","187,656",-7.8,"170,032","177,205",-4.7,705744,644037,18881,20425,9974,2246,10181,535917,496592,13368,12271,7203,1703,4780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan 11th,MI-11,Dave,Trott,(DAVE TRAHT),/deɪv tʃɹɑt/,1960,Roman Catholic,2014,40.5%,55.9%,R+,4,47.3%,52.7%,R+,5,51.0%,49.0%,R+,3,42.0%,58.0%,46.6%,53.4%,84.3%,4.8%,2.6%,7.0%,0.2%,1.2%,,,209,"251,238","101,681","140,435","9,122",158879,181788,,,-3.7,"178,768","199,308",-4.7,"193,613","186,390",-2.7,705359,579927,35987,22049,53024,1604,12768,537930,453472,25883,13786,37413,1183,6193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan 12th,MI-12,Debbie,Dingell,(DEH-bee DING-uhl),/'dɛ.bi 'diŋ.gəl/,1953,Roman Catholic,2014,65.0%,31.3%,D+,15,66.9%,33.1%,D+,15,68.1%,31.9%,D+,14,67.5%,32.5%,70.1%,29.9%,78.8%,9.7%,4.4%,4.9%,0.4%,1.8%,,,210,"206,660","134,346","64,716","7,598",216884,92472,,,14.6,"217,495","107,677",14.9,"234,529","110,055",14.4,705112,539252,74064,37235,32839,2507,19215,545365,429969,52738,24129,26527,1957,10045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan 13th,MI-13,John,Conyers,(JAHN KAHN-yerz),/dʒɑn 'kɑn.jəɹz/,1929,Baptist,1964,79.5%,16.3%,D+,33,85.6%,14.4%,D+,34,85.7%,14.3%,D+,32,83.0%,17.0%,85.9%,14.1%,37.4%,53.8%,5.6%,1.2%,0.3%,1.7%,,,211,"166,947","132,710","27,234","7,003",235336,38769,,,32.8,"249,656","41,881",33.7,"281,005","46,980",32.0,706462,246159,386239,48016,7611,2274,16163,523898,195685,281864,29348,6159,1829,9013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan 14th,MI-14,Brenda,Lawrence,(BREN-duh LOR-uhns),/'bɹɛn.də 'lɔ.ɹəns/,1954,Christian,2014,77.8%,19.7%,D+,29,81.3%,18.7%,D+,29,82.8%,17.2%,D+,29,79.8%,20.2%,84.0%,16.0%,33.6%,57.3%,3.5%,3.7%,0.2%,1.7%,,,212,"212,468","165,272","41,801","5,395",270450,51395,,,29.2,"273,270","62,794",29.4,"294,273","61,286",29.1,705968,219139,413655,28637,27415,1664,15458,528390,177587,303017,18236,19387,1232,8931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota 1st,MN-01,Tim,Walz,(TIM WAWLZ),/tɪm wɔlz/,1964,Lutheran,2006,54.2%,45.7%,R+,1,50.7%,49.3%,R+,1,52.1%,47.9%,R+,2,54.3%,45.7%,57.6%,42.4%,90.9%,1.9%,4.2%,2.1%,0.2%,0.7%,,,213,"226,695","122,851","103,536",308,"193,211","142,164",,,-1.4,"170,377","165,720",-1.3,"176,959","162,554",-1.6,662237,585535,15273,36604,14946,1566,8313,505339,459195,9668,21158,10749,1217,3352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota 2nd,MN-02,John,Kline,(JAHN KLINE),/dʒɑn 'klaɪn/,1947,Methodist,2002,38.9%,56.0%,R+,2,50.0%,50.0%,R+,2,51.5%,48.5%,R+,2,41.0%,59.0%,45.9%,54.1%,87.1%,3.0%,4.3%,4.0%,0.4%,1.1%,,,214,"245,848","95,565","137,778","12,505","164,338","193,587",,,-2.1,"184,802","184,576",-1.9,"185,192","174,635",-2.2,662780,558248,23765,35469,28060,3022,14216,485541,423136,14628,20640,19489,2118,5530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota 3rd,MN-03,Erik,Paulsen,(AIR-ick PAWL-suhn),/'ɛ.ɹɪk 'pɔl.sən/,1965,Lutheran,2008,37.8%,62.1%,R+,2,50.4%,49.6%,R+,2,51.9%,48.1%,R+,2,37.8%,62.2%,41.8%,58.2%,84.3%,5.4%,3.0%,5.8%,0.3%,1.2%,,,215,"269,585","101,846","167,515",224,"159,937","222,335",,,-1.7,"199,093","195,802",-1.5,"199,740","185,406",-1.8,663654,537250,42984,25281,41306,1961,14872,496951,418915,26887,14940,28794,1432,5983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota 4th,MN-04,Betty,McCollum,(BET-ee muh-KUHL-um),/'bɛ.ɾi mə.'kəl.əm/,1954,Roman Catholic,2000,61.2%,32.9%,D+,11,63.8%,36.2%,D+,12,63.8%,36.2%,D+,10,65.0%,35.0%,66.4%,33.6%,76.3%,7.9%,5.1%,8.5%,0.6%,1.6%,,,216,"241,637","147,857","79,492","14,288","216,685","109,659",,,11.0,"231,511","131,521",11.8,"229,802","130,366",10.1,664041,471349,61120,41722,68289,3812,17749,504063,384846,39851,25476,43060,2875,7955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota 5th,MN-05,Keith,Ellison,(KEETH EH-lih-suhn),/kiθ 'ɛ.lɪ.sən/,1963,Muslim,2006,70.8%,24.0%,D+,22,75.4%,24.6%,D+,23,75.0%,25.0%,D+,21,74.7%,25.3%,74.7%,25.3%,71.0%,12.9%,7.5%,5.3%,1.1%,2.2%,,,217,"236,009","167,079","56,577","12,353","262,102","88,753",,,22.4,"274,635","89,643",23.4,"269,829","90,035",21.3,662883,430805,101629,61998,37615,7978,22858,523712,371608,67730,39067,27898,5729,11680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota 6th,MN-06,Tom,Emmer,(TAHM EM-er),/tɑm 'ɛ.məɹ/,1961,Roman Catholic,2014,38.4%,56.3%,R+,10,42.4%,57.6%,R+,10,44.1%,55.9%,R+,10,40.5%,59.5%,49.4%,50.6%,92.9%,1.8%,1.8%,2.2%,0.4%,0.9%,,,218,"236,846","90,926","133,328","12,592","174,944","179,240",,,-9.6,"151,238","205,652",-9.6,"153,766","194,584",-9.5,661656,604208,13764,15319,15388,2510,10467,482759,448717,8713,8650,10644,1896,4139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota 7th,MN-07,Collin,Peterson,(KAH-lin PEE-ter-suhn),/'kɑ.lɪn 'pi.ɾəɹ.sən/,1944,Lutheran,1990,54.2%,45.7%,R+,6,45.0%,55.0%,R+,7,48.3%,51.7%,R+,5,54.3%,45.7%,63.4%,36.6%,92.9%,0.6%,2.7%,0.7%,2.2%,0.8%,,,219,"240,835","130,546","109,955",334,"197,791","114,151",,,-6.1,"147,750","180,334",-6.9,"162,296","173,440",-5.3,663326,601672,4850,25270,5295,17151,9088,505477,469715,2979,13882,3773,10971,4157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota 8th,MN-08,Rick,Nolan,(RICK NOLL-uhn),/ɹɪk 'noʊ.lən/,1943,Roman Catholic,"2012, 1974-1980",48.5%,47.1%,D+,1,52.8%,47.2%,D+,1,54.4%,45.6%,D+,1,50.7%,49.3%,54.5%,45.5%,94.3%,0.8%,1.0%,0.6%,2.3%,1.1%,,,220,"266,083","129,090","125,358","11,635","191,976","160,520",,,0.7,"186,761","166,977",0.8,"195,770","164,390",0.7,663348,616075,5756,8595,3957,17421,11544,516020,486512,4232,5023,2958,11772,5523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi 1st,MS-01,Alan,Nunnelee,(AL-en NUHN-lee),/'æ.lɛn 'nʌn.li/,1958,Southern Baptist,2010,28.9%,67.9%,R+,16,37.4%,62.6%,R+,15,36.9%,63.1%,R+,17,29.9%,70.1%,37.9%,62.1%,71.5%,24.5%,2.5%,0.7%,0.2%,0.6%,,,221,"151,111","43,713","102,622","4,776","114,076","186,760",,,-15.6,"118,438","197,984",-14.5,"118,704","202,760",-16.8,741837,510852,194586,22647,4845,1446,7461,553526,395515,135737,14109,3663,1114,3388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi 2nd,MS-02,Bennie,Thompson,(BIN-ee TAHM-suhn),/'bɪ.ni 'tɑm.sən/,1948,Methodist,1993*,67.7%,0.0%,D+,13,66.8%,33.2%,D+,15,64.6%,35.4%,D+,11,100.0%,0.0%,68.4%,31.6%,35.7%,61.1%,1.8%,0.5%,0.3%,0.5%,,,222,"148,646","100,688",0,"47,958","214,978","99,160",,,12.8,"219,416","109,228",14.8,"215,143","118,035",10.9,741862,239425,477582,13682,3764,2420,4989,543684,194102,332383,9832,2961,1681,2725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi 3rd,MS-03,Gregg,Harper,(GREGG HAR-per),/gɹɛg 'hɑɹ.pəɹ/,1956,Southern Baptist,2008,27.9%,68.9%,R+,14,39.4%,60.6%,R+,13,38.7%,61.3%,R+,15,28.8%,71.2%,0%,100%,63.3%,32.3%,2.2%,0.9%,0.8%,0.6%,,,223,"170,946","47,744","117,771","5,431",0,"234,717",,,-13.8,"132,968","204,180",-12.5,"131,202","207,867",-15.0,741822,449767,254546,17169,6799,7404,6137,557605,352737,179916,12107,5080,4688,3077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi 4th,MS-04,Steven,Palazzo,(STEEV-in puh-LAZZ-oh),/'sti.vɪn pə.'læ.zoʊ/,1970,Roman Catholic,2010,24.3%,69.9%,R+,21,31.6%,68.4%,R+,20,31.4%,68.6%,R+,22,25.8%,74.2%,31.0%,69.0%,72.9%,20.9%,3.4%,1.5%,0.4%,1.0%,,,224,"155,576","37,869","108,776","8,931","82,344","182,998",,,-21.3,"92,127","199,354",-20.4,"89,613","195,935",-22.3,741776,522243,166798,27983,11017,2575,11160,556927,405892,116214,18929,8467,1957,5468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri 1st,MO-01,Lacy,Clay,(LAY-see CLAY),/'leɪ.si kleɪ/,1956,Roman Catholic,2000,73.0%,21.6%,D+,28,80.9%,19.1%,D+,29,81.2%,18.8%,D+,27,77.2%,22.8%,81.5%,18.5%,47.3%,45.5%,2.7%,2.8%,0.2%,1.5%,,,225,"163,494","119,315","35,273","8,906","267,927","60,832",,,28.2,"280,194","66,286",28.9,"309,062","71,725",27.5,748540,319451,368775,22783,19440,1534,16557,575685,272167,261898,15490,16129,1215,8786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri 2nd,MO-02,Ann,Wagner,(ANN WAG-ner),/æn 'wæg.nəɹ/,1962,Roman Catholic,2012,32.6%,64.1%,R+,8,42.0%,58.0%,R+,10,46.8%,53.2%,R+,7,33.7%,66.3%,38.2%,61.8%,90.2%,3.1%,2.0%,3.7%,0.1%,0.9%,,,226,"231,117","75,384","148,191","7,542","146,272","236,971",,,-8.4,"170,727","235,428",-9.9,"199,128","225,911",-6.8,748401,664294,24801,17629,29374,1117,11186,572513,516348,17774,11289,21201,838,5063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri 3rd,MO-03,Blaine,Luetkemeyer,(BLAYN LOOT-kuh-my-ur),/bleɪn 'lut.kə.ˌmaɪ.əɹ/,1960,Roman Catholic,2008,27.1%,68.3%,R+,13,36.8%,63.2%,R+,15,43.4%,56.6%,R+,10,28.4%,71.6%,34.1%,65.9%,93.2%,3.1%,1.7%,0.9%,0.3%,0.9%,,,227,"191,620","52,021","130,940","8,659","111,189","214,843",,,-12.7,"127,442","219,153",-15.2,"158,404","206,620",-10.3,748398,688887,23839,15989,6734,2133,10816,563086,524617,17237,9743,4874,1647,4968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri 4th,MO-04,Vicky,Hartzler,(VICK-ee HART-slur),/'vɪ.ki 'hɑɹt.sləɹ/,1960,Evangelical,2010,26.4%,68.1%,R+,13,37.3%,62.7%,R+,15,42.6%,57.4%,R+,11,27.9%,72.1%,37.0%,63.0%,89.7%,4.3%,2.6%,1.5%,0.5%,1.4%,,,228,"176,286","46,464","120,014","9,808","113,120","192,237",,,-12.9,"119,910","201,678",-14.7,"146,703","197,817",-11.1,749315,661410,33714,24278,10807,3622,15484,573748,514675,24803,14999,8562,2782,7927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri 5th,MO-05,Emanuel,Cleaver,(ih-MAN-yoo-wuhl KLEE-ver),/ɪ.'mæn.ju.ˌwəl 'kli.vəɹ/,1944,Methodist,2004,51.6%,45.0%,D+,9,59.9%,40.1%,D+,8,62.8%,37.2%,D+,9,53.4%,46.6%,62.1%,37.9%,69.0%,20.2%,6.8%,1.8%,0.4%,1.6%,,,229,"153,635","79,256","69,071","5,308","200,290","122,149",,,8.5,"199,298","133,185",8.0,"229,496","136,071",9.1,748737,488072,162753,62467,13701,3099,18645,569063,392820,115228,38874,10423,2444,9274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri 6th,MO-06,Sam,Graves,(SAM GRAYVZ),/sæm gɹeɪvz,1963,Southern Baptist,2000,29.5%,66.7%,R+,12,38.7%,61.3%,R+,13,43.8%,56.2%,R+,10,30.7%,69.3%,33.3%,66.7%,91.2%,3.6%,2.7%,1.2%,0.3%,1.0%,,,230,"186,970","55,157","124,616","7,197","108,503","216,906",,,-11.6,"129,609","205,280",-13.3,"154,736","198,560",-9.9,748760,671952,28069,24951,8941,2523,12324,564869,515112,20613,15126,6509,1945,5564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri 7th,MO-07,Billy,Long,(BILL-ee LAWNG),/'bɪ.li lɔŋg/,1955,Presbyterian,2010,28.8%,63.5%,R+,19,31.0%,69.0%,R+,21,35.9%,64.1%,R+,18,31.2%,68.8%,32.6%,67.4%,91.5%,1.5%,3.3%,1.2%,0.9%,1.5%,,,231,"163,957","47,282","104,054","12,621","98,498","203,565",,,-19.4,"98,916","220,216",-21.0,"121,064","216,172",-17.8,748406,671805,11760,32310,9506,6987,16038,571140,522790,8487,19015,6980,5101,8767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri 8th,MO-08,Jason,Smith,(JAY-suhn SMITH),/'dʒeɪ.sən smɪθ/,1980,Pentecostal,2013*,24.3%,66.7%,R+,17,32.7%,67.3%,R+,19,39.0%,61.0%,R+,15,26.7%,73.3%,25.4%,74.6%,92.6%,4.1%,1.3%,0.6%,0.4%,1.0%,,,232,"159,224","38,721","106,124","14,379","73,755","216,083",,,-17.0,"97,700","201,214",-19.3,"123,319","192,937",-14.7,748370,684877,33438,12063,4481,3047,10464,573387,530763,23571,7276,3580,2425,5772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana At-Large,MT-AL,Ryan,Zinke,(RAHY-uhn ZIN-kee),/'ɹaɪ.ən 'zɪŋ.ki/,1961,Evangelical Lutheran,2014,40.4%,55.4%,R+,7,43.0%,57.0%,R+,9,48.8%,51.2%,R+,5,42.2%,57.8%,44.5%,55.5%,90.0%,0.3%,2.3%,0.7%,5.1%,1.6%,,,233,"367,963","148,690","203,871","15,402",204939,255468,,,-6.9,"201,839","267,928",-9.0,"231,667","242,763",-4.9,989415,868628,3743,28565,6747,59902,21830,765852,689188,2617,17420,5302,38949,12376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska 1st,NE-01,Jeff,Fortenberry,(JEFF FOR-tn-bare-ee),/dʒɛf 'fɔɹ.ʔn.ˌbɛ.ɹi/,1960,Roman Catholic,2004,31.2%,68.8%,R+,10,41.6%,58.4%,R+,10,44.9%,55.1%,R+,9,31.2%,68.8%,31.7%,68.3%,87.9%,2.3%,5.8%,2.1%,0.9%,1.0%,,,234,"179,057","55,838","123,219",0,81206,174889,,,-9.6,"108,082","152,021",-10.4,"117,514","144,470",-8.8,608065,516832,14907,45360,12787,6909,11270,458727,403070,10348,26641,9555,4348,4765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska 2nd,NE-02,Brad,Ashford,(BRADD ASH-ferd),/bɹæd 'æʃ.fəɹd/,1949,Lutheran,2014,49.0%,45.7%,R+,4,46.4%,53.6%,R+,6,50.6%,49.4%,R+,3,51.8%,48.2%,49.2%,50.8%,78.3%,9.2%,8.2%,2.5%,0.4%,1.3%,,,235,"171,050","83,872","78,157","9,021",129767,133964,,,-4.3,"121,889","140,976",-5.6,"133,016","129,890",-3.1,609223,454079,61305,61976,15680,2755,13428,447161,350324,41319,36613,11309,1943,5653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska 3rd,NE-03,Adrian,Smith,(AY-dree-in SMITH),/'eɪ.ɾɹi.ɪn smɪθ/,1970,Christian,2006,24.6%,75.4%,R+,23,28.4%,71.6%,R+,24,31.7%,68.3%,R+,22,24.6%,75.4%,25.8%,74.2%,89.7%,0.7%,7.6%,0.7%,0.7%,0.6%,,,236,"184,964","45,524","139,440",0,65266,187423,,,-22.8,"72,110","182,067",-23.6,"82,789","178,619",-22.0,609053,528842,4747,60069,4418,5133,5844,461232,413562,3314,34967,3239,3346,2804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada 1st,NV-01,Dina,Titus,(DEE-nuh TIE-tus),/'di.nə 'taɪ.ɾəs/,1950,Eastern Orthodox,"2012, 2008-2010",56.8%,37.9%,D+,14,67.0%,33.0%,D+,15,66.1%,33.9%,D+,12,60.0%,40.0%,66.8%,33.2%,42.3%,9.5%,36.5%,9.0%,0.5%,2.2%,,,237,"80,299","45,643","30,413","4,243","113,967","56,521",,,13.7,"123,205","60,813",15.0,"122,041","62,527",12.4,674442,246051,63635,287756,55478,3099,18423,509371,215645,48217,185912,46076,2538,10983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada 2nd,NV-02,Mark,Amodei,(MARK AM-uh-day),/mɑɹk 'æ.mə.deɪ/,1958,Christian,2011*,27.9%,65.7%,R+,5,45.9%,54.1%,R+,6,50.6%,49.4%,R+,3,29.8%,70.2%,38.6%,61.4%,73.8%,1.7%,16.6%,4.3%,1.8%,1.8%,,,238,"186,210","52,016","122,402","11,792",102019,162213,,,-4.6,"131,542","155,187",-6.1,"141,357","137,916",-3.1,675971,469069,11684,138087,27912,12641,16578,515125,379952,8925,85495,22255,9378,9120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada 3rd,NV-03,Joe,Heck,(JOH HECK),/dʒoʊ hɛk/,1961,Roman Catholic,2010,36.1%,60.8%,R+,0,50.4%,49.6%,R+,2,54.6%,45.4%,D+,1,37.3%,62.7%,46.0%,54.0%,64.4%,5.9%,13.5%,13.1%,0.4%,2.7%,,,239,"145,719","52,644","88,528","4,547",116823,137244,,,-0.3,"140,501","138,238",-1.6,"140,378","116,908",0.9,675469,412783,41181,105955,86223,2751,26576,521733,335885,30810,70493,68194,2170,14181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada 4th,NV-04,Cresent,Hardy,(KRES-uhnt HAR-dee),/ˈkɹɛ.sənt hɑɹ.ɾi/,1957,Mormon,2014,45.8%,48.5%,D+,4,55.5%,44.5%,D+,3,57.6%,42.4%,D+,4,48.5%,51.5%,54.3%,45.7%,54.7%,13.2%,23.0%,6.0%,0.8%,2.3%,,,240,"130,781","59,844","63,466","7,471","120,501","101,261",,,3.7,"136,124","109,330",3.5,"129,961","95,477",4.0,674669,334178,91558,184703,36890,5045,22295,489314,267816,64558,112634,29330,3771,11205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire 1st,NH-01,Frank,Guinta,(FRAYNK GINN-tuh),/fɹeɪŋk 'gɪn.tə/,1970,Roman Catholic,"2014, 2010-2012",48.1%,51.7%,R+,1,50.8%,49.2%,R+,1,53.2%,46.8%,R+,0,48.2%,51.8%,52.0%,48.0%,93.7%,1.0%,2.2%,1.9%,0.2%,1.0%,,,241,"242,736","116,769","125,508",459,171650,158659,,,-0.8,"179,148","173,419",-1.2,"186,598","163,977",-0.5,658233,607603,7643,18305,13357,1176,10149,514495,481892,5135,11377,9906,916,5269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
