,ALAND,AWATER,CD113FP,CDSESSN,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAMELSAD,STATEFP,AREA,PERIMETER,COMPACTNESS
0,14227693111,414257512,01,113,N,3701,+36.1119104,-077.5009008,C2,G5200,Congressional District 1,37,1.4653699031615413,21.475018909980818,0.03993
1,20229273757,10851171398,03,113,N,3703,+35.4057865,-076.6296737,C2,G5200,Congressional District 3,37,3.084325009288192,19.44122685769174,0.10255
2,1730858364,86473790,04,113,N,2504,+41.9971989,-071.2275271,C2,G5200,Congressional District 4,25,0.19745646127693045,3.843368972521979,0.16798
3,3146229191,5152011870,09,113,N,2509,+41.6948531,-070.4851689,C2,G5200,Congressional District 9,25,0.8975083989160006,6.37423021837183,0.27758
4,845313811,447648415,08,113,N,2508,+42.1947343,-070.9440053,C2,G5200,Congressional District 8,25,0.14092299258105773,3.6041339297922317,0.13633
5,479388902,21677941,11,113,N,5111,+38.7912640,-077.2942679,C2,G5200,Congressional District 11,51,0.05195031929992718,2.6636119655762722,0.09201
6,98685953201,435877019,04,113,N,0804,+39.0706831,-103.4138530,C2,G5200,Congressional District 4,08,10.318305224358319,18.81027020731372,0.36646
7,11125095359,119881178,06,113,N,2106,+38.0534473,-084.1547782,C2,G5200,Congressional District 6,21,1.1541972522650414,9.391014906603878,0.16446
8,10802402204,177149895,06,113,N,0106,+33.2602118,-086.7134267,C2,G5200,Congressional District 6,01,1.06250272596998,9.965807789057413,0.13444
9,26218531554,1029312841,04,113,N,4804,+33.2982880,-095.4180633,C2,G5200,Congressional District 4,48,2.638173746266328,13.749605073020613,0.17536
10,37433466212,1114920777,05,113,N,2205,+31.7664463,-091.8235236,C2,G5200,Congressional District 5,22,3.670139639760938,21.81441277238218,0.09692
11,24932133897,449511864,02,113,N,1302,+31.8162371,-084.4190306,C2,G5200,Congressional District 2,13,2.417876965402885,9.904284685598993,0.30974
12,246791968,19335530,09,113,N,3409,+40.8607823,-074.0738236,C2,G5200,Congressional District 9,34,0.028423484641029596,1.4067754047347087,0.18048
13,6186411570,3271907723,24,113,N,3624,+43.2103194,-076.6480936,C2,G5200,Congressional District 24,36,1.0475600892728636,5.625349734479033,0.416
14,7788206885,770283619,01,113,N,4101,+45.7211995,-123.3412706,C2,G5200,Congressional District 1,41,0.9891309512094291,6.9133872807104915,0.26006
15,23604940765,154764241,09,113,N,5109,+36.9828146,-081.3524574,C2,G5200,Congressional District 9,51,2.4050332927942453,13.539742347521607,0.16486
16,15500735761,241448676,04,113,N,4704,+35.2621448,-086.6288782,C2,G5200,Congressional District 4,47,1.562903679023105,11.963816413562693,0.13722
17,10728423766,5439326375,10,113,N,2610,+43.4559041,-082.8824074,C2,G5200,Congressional District 10,26,1.7981300643771627,6.799301996678833,0.48877
18,132084153428,629301015,04,113,N,3204,+38.0856481,-116.0266825,C2,G5200,Congressional District 4,32,13.631557098376419,18.32945451407043,0.50987
19,144598474874,1316086289,02,113,N,3202,+40.6511506,-117.3296838,C2,G5200,Congressional District 2,32,15.536353112172902,18.904122100624274,0.54632
20,1779256675,26623500,01,113,N,3901,+39.3360790,-084.3467724,C2,G5200,Congressional District 1,39,0.18866903410353245,3.9197214644070386,0.15431
21,1365087721,144737132,03,113,N,2703,+44.9958803,-093.5286204,C2,G5200,Congressional District 3,27,0.17229726552748267,2.8139247297290635,0.27344
22,2228607635,29517329,06,113,N,4206,+40.0601515,-075.6344512,C2,G5200,Congressional District 6,42,0.23902985363098414,6.172722185339498,0.07883
23,2583989456,105160481,16,113,N,4216,+40.0208820,-076.2131977,C2,G5200,Congressional District 16,42,0.2837180903720142,5.450711169205729,0.12
24,3328327601,33953332,15,113,N,4215,+40.5289635,-075.9624069,C2,G5200,Congressional District 15,42,0.3573568581190581,5.809290028918405,0.13307
25,7354267742,118626749,16,113,N,0616,+37.1086529,-120.5188666,C2,G5200,Congressional District 16,06,0.7575949358582493,6.105907424125933,0.25536
26,17430391824,35944067,21,113,N,0621,+36.0867145,-119.8515001,C2,G5200,Congressional District 21,06,1.7476752405978948,10.722318740836329,0.19103
